LukeeyProctor	excited to be going back to Liverpool is an understatement
CnsrvatvTonyUSA	America as a NATION needs desparately thru God's MERCIFUL Right Hand a REFORMATION. This begins in His House. #Pray 4 eyes that see & REPENT
BSmoke	Worst thing about this #WorldSeries is the 2 fan bases. Best thing is the @MLB tradition in these 2 cities. #cards #BoSox #jealous #reds2014
chrismjmarsh	The view from Inverary over Loch Fyne. #VisitScotland @visitscotland pic.twitter.com/CeScWr9dRy
jonhoneyball	wtf? 27.1GB of data in com.tapbots.TweetbotMac? @tweetbot
ArtGo80	With a little less than 3 days to go our 2nd Annual F-Cancer Campaign has sold 17,656 items. Because Fuck cancer. http://represent.com/stephen
vernfl291	Prayers are going out to the victims & their families https://twitter.com/MelindaDC/status/598334105852477440 …
MainlineDnB	Decided to fish out these two great books on DJing & re-read them. Doc Scott would be proud. Maybe. Probably not. pic.twitter.com/lAyKIQUvEO
Sean29_	That was an absolute masterclass from Jordan Spieth! Only 21 years old but no one could get near him
davidtims	The mind boggles at what other advances can be made in the world of jigsaws. https://instagram.com/p/8sRVY3wmS_/
skinsTHFC	Well done Cardiff. What a test. Great fans and fantastic result. Those silly Crims. #WhatWhitewash #TheAshes2015
chrisshields10	The St Valentine's Day Massacre #RangersAMovie(Film released 1967) http://www.imdb.com/title/tt0062301/ …
andymangold	Best possible response to persistent harassment: http://www.buzzfeed.com/krystieyandoli/this-is-the-best-way-anyone-has-ever-handled-harassment-on-t?utm_term=.ihprbq0mL#.okP6y3pjKp …
viso	Check out the story of the Afghan #BruceLee from @InformOverload! The #MartialArts Master is a spitting image! #news http://ow.ly/FP34u
JamesBragg1984	First #D&D session done. I have a lot to learn but thank you to @SammaelGreymane @ruthbedder @MoriarGladio for putting up with me. #love
LeanNSuave	I just want a good girl in my life
HeyyLaura_	When you see an ex somethingerother out and about, and then he texts you asking if you want to catch up
Jessa_Nicole1	Live under a rock, please. In canada. Go.
Toadsanime	Firewatch is the kind of game that makes your HD TV feel like the best purchase you've ever made. @Firewatchgame
khiiirylenay	You could be uncharacteristically insensitive and inadvertentl... More for Cancer http://bit.ly/yk3b9m
scoby1978	Applies to so many of you wonderful people pic.twitter.com/D33HEis0Zx
suwhye	"let's go out for a birthday lunch thing for me" subtlety 101 by @singcinderella
BF_Giant	Signs at Trump rally say "the silent majority stand with Trump." Fuck that. Fuck him. @GOP Find a real candidate, not a clown!
makennascott	YOU ARE GORGEOUS KEN https://twitter.com/makennascott/status/669550519694655488 …
jasonhsv	There Will be Blood Waters of Dr Z #MoviePlusMovie
AiR_Adams	Of course Jay needs some love too pic.twitter.com/9PU2v62pTQ
borodenzil	QPR, made £65m loss for 2012-13, one of the Championship clubs understood to be objecting to financial fair play http://www.theguardian.com/football/2014/feb/26/financial-fair-play-championship-clubs-threat-football-league ….
gibby8	@Spendog86 @Jamie_Temp heard you been checking out my lads backside ..... Have it, you'll soon give it bk when he tutts himself
MsSmileeey	Hey @@jimmykimmel....".@kerrywashington I have a question... http://vine.co/v/OIpPz7qg2LB  #AskScandal"https://amp.twimg.com/v/aa0aae0b-2e2d-40a2-bcf3-3f09b7c3ccff …
SassafrasSassy	Russian PM #Medvedev warns that #SyrianConflict will spark World War Three if Ground Troops are deployed. http://dailym.ai/1mw9UbM
_Lyude	Because otherwise this will continue to happen and our countries will continue to apply the wrong solutions resulting in further casualties
I_Am_Luka	@LilyLuWhoT @SqueakyElvis @morbokif @I_Am_Luka @Mr_Pie @The_Tardis_Toms @RaphaelGingrBoy Hello! #DAclub pic.twitter.com/et2UWaWVJf
Austin_Scho	Woah
vernfl291	So sorry for your loss https://twitter.com/nona_white/status/598152487057633280 …
makennascott	HAPPY BIRTHDAY HOPE ITS A GREAT ONE  @makennascott
INeedProtecting	"@Killer_Seb: Just need Irene to hold me right now" I'm here Seb
Pandz91	WALL.E is the most adorable motherfucking robot ever!
thomasnewby	German photographer Birk Möbius captured a photo of lightning striking a plane inside a rainbow. pic.twitter.com/54QdDXwQMJ
azwatergeek	Little ol' me, for one! @libertyladyusa @GARock945
ChrisWIllCowie	johnwhaitebakes's video https://instagram.com/p/2ePdATpfSY/  relationship goals tbh
_Lyude	Wolf Fact ㉑I'm supremely anal about the aesthetic condition of my technology and I used to have trouble using my tech if it was worn
